,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,"creel,MX",27.75,68.06,65.0,32.0,2.93
1,"nizhneyansk,RU",,,,,
2,"kodiak,US",39.95,82.4,58.0,1.0,8.05
3,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
4,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
5,"esperance,AU",-33.86,42.59,91.0,0.0,4.38
6,"banjar,ID",-7.37,71.39,98.0,80.0,3.15
7,"lapy,PL",52.99,52.31,93.0,92.0,7.96
8,"barrow,US",39.51,78.8,78.0,75.0,3.36
9,"bluff,NZ",-46.6,47.54,100.0,48.0,27.54
10,"kalmunai,LK",7.42,74.36,96.0,36.0,7.63
11,"ribeira grande,PT",38.52,70.22,100.0,80.0,2.37
12,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
13,"antofagasta,CL",-23.65,57.2,82.0,20.0,5.82
14,"senovo,BG",43.65,57.17,70.0,32.0,3.15
15,"lock haven,US",41.14,71.6,94.0,90.0,4.7
16,"perth,AU",-31.95,53.6,76.0,0.0,2.24
17,"hilo,US",19.71,82.4,58.0,1.0,8.05
18,"castro,CL",-42.48,32.06,100.0,8.0,1.36
19,"samalaeulu,WS",,,,,
20,"hermanus,ZA",-34.42,54.38,85.0,56.0,6.62
21,"alappuzha,IN",,,,,
22,"mandalgovi,MN",45.76,59.24,77.0,68.0,14.0
23,"puerto ayora,EC",-0.74,78.8,61.0,75.0,12.75
24,"bluff,NZ",-46.6,47.54,100.0,48.0,27.54
25,"panjakent,TJ",39.5,69.8,49.0,75.0,4.7
26,"mar del plata,AR",-46.43,35.48,78.0,12.0,13.67
27,"samusu,WS",,,,,
28,"georgetown,SH",-7.93,77.42,100.0,76.0,21.27
29,"victoria,CA",47.77,60.8,44.0,75.0,25.28
30,"hobart,AU",-42.88,48.2,61.0,40.0,9.17
31,"torbay,CA",47.66,60.8,44.0,75.0,25.28
32,"ngukurr,AU",,,,,
33,"esperance,AU",-33.86,42.59,91.0,0.0,4.38
34,"hobart,AU",-42.88,48.2,61.0,40.0,9.17
35,"hobart,AU",-42.88,48.2,61.0,40.0,9.17
36,"tiksi,RU",71.64,74.27,51.0,8.0,4.27
37,"bredasdorp,ZA",-34.53,59.0,62.0,76.0,10.29
38,"bengkulu,ID",,,,,
39,"tuatapere,NZ",-46.13,43.94,100.0,44.0,19.37
40,"minalin,PH",14.97,80.6,88.0,90.0,2.24
41,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
42,"taolanaro,MG",,,,,
43,"ponta do sol,CV",17.2,72.2,100.0,20.0,15.46
44,"tshikapa,CD",-6.42,68.33,93.0,20.0,2.15
45,"north bend,US",43.41,66.2,63.0,1.0,21.92
46,"severo-kurilsk,RU",50.68,45.65,92.0,92.0,13.44
47,"cidreira,BR",-30.17,69.32,66.0,80.0,8.41
48,"talnakh,RU",69.49,59.06,69.0,0.0,4.61
49,"kudahuvadhoo,MV",2.67,82.64,100.0,68.0,6.96
50,"pacifica,US",37.61,102.2,30.0,1.0,17.22
51,"aswan,EG",24.09,95.0,16.0,0.0,11.41
